rocket,payloads,launchpad,cores,flight_number,date_utc,date,BoosterVersion,FlightNumber
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a4f3591845123b264f', 'flight': 2, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",63,2018-06-04T04:45:00.000Z,04-06-2018,Falcon 9,51
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f35918863d3b2655', 'flight': 2, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",64,2018-06-29T09:42:00.000Z,29-06-2018,Falcon 9,52
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f359181eed3b2657', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",65,2018-07-22T05:50:00.000Z,22-07-2018,Falcon 9,53
5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,"{'core': '5e9e28a5f3591809c03b2658', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",66,2018-07-25T11:39:26.000Z,25-07-2018,Falcon 9,54
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f359182b023b2656', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",67,2018-08-07T05:18:00.000Z,07-08-2018,Falcon 9,55
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",68,2018-09-10T04:45:00.000Z,10-09-2018,Falcon 9,56
5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,"{'core': '5e9e28a5f3591809c03b2658', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}",69,2018-10-08T02:22:00.000Z,08-10-2018,Falcon 9,57
5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,"{'core': '5e9e28a5f359181eed3b2657', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",70,2018-11-15T20:46:00.000Z,15-11-2018,Falcon 9,58
5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,"{'core': '5e9e28a5f359182b023b2656', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",71,2018-12-03T18:34:00.000Z,03-12-2018,Falcon 9,59
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a6f359185c603b265a', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",72,2018-12-05T18:16:00.000Z,05-12-2018,Falcon 9,60
