Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
64,VAFB,SSO-A,"~4,000 kg (8,800 lb)[372]",SSO,Spaceflight Industries,Success,F9 B5♺B1046.3[268]SHERPA,Success[373](drone ship),3,December
65,CCAFS,SpaceX CRS-16,"2,500 kg (5,500 lb)[382]",LEO,NASA,Success,F9 B5B1050[268],Failure[383](ground pad),5,December
66,CCAFS,GPS III,"4,400 kg (9,700 lb)[388]",MEO,USAF,Success,F9 B5B1054[387],No attempt[386],23,December
67,VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,Success,F9 B5♺B1049.2[397],Success(drone ship),11,January
68,CCAFS,Nusantara Satu,"4,850 kg (10,690 lb)[403]",GTO,PSN,Success,F9 B5♺B1048.3[399],Success(drone ship),22,February
69,KSC,Crew Dragon Demo-1,"12,055 kg (26,577 lb)[415][h]",LEO,NASA,Success,F9 B5B1051.1[268][413],Success(drone ship),2,March
70,CCAFS,SpaceX CRS-17,"2,495 kg (5,501 lb)[432]",LEO,NASA,Success,F9 B5B1056.1[420],Success(drone ship),4,May
71,CCAFS,Starlink,"13,620 kg (30,030 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1049.3[434],Success(drone ship),24,May
72,VAFB,RADARSAT Constellation,"4,200 kg (9,300 lb)[443]",SSO,Canadian Space Agency,Success,F9 B5♺B1051.2[420],Success(ground pad),12,June
73,CCAFS,SpaceX CRS-18,"2,268 kg (5,000 lb)[464]",LEO,NASA,Success,F9 B5♺B1056.2[465],Success(ground pad),25,July
74,CCAFS,AMOS-17,"6,500 kg (14,300 lb)[474]",GTO,Spacecom,Success,F9 B5♺B1047.3[472],No attempt[474],6,August
